Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Anita Dao	abtpromos	anita_dao_1.png	Character	Architects of the Flesh	Mastermind Biotech Scientist	3	rr	rtt	4			Fixed	anita dao mastermind biotech scientist	Unique. Identity: The Prof. You may substitute [Tec] for [Mag] resource provisions when playing cards. Once per turn you may choose a non-Character [Tec] card you control :: Unturn that card.	
The Burwell Incident	abtpromos	the_burwell_incident_1.png	Event	Architects of the Flesh	Purist Event	3	rr{mon}					Fixed	burwell incident purist	Reveal all Sites, then immediately inflict X non-combat damage on all Characters in play. X= the body of the front-row Site at their location.	
Brother Rooster	abtpromos	brother_rooster_1.png	Character	Ascended	Lodge Mastermind	4	{asc}{asc}{asc}	{asc}c	7			Fixed	brother rooster lodge mastermind	Unique. Tactics. Once per turn, when a Character you control is smoked (including this one), you may reload it.	
Wen Yahui	abtpromos	wen_yahui_1.png	Character	Dragons	Rebel Leader	3	{dra}{dra}	{dra}	4			Fixed	wen yahui rebel leader	Unique. Guts. Characters you control gain +1 Fighting while attacking a player who is closer to victory than you are.	
Sam Mallory	abtpromos	sam_mallory_1.png	Character	Dragons	Redeemed Bear	5	{dra}{dra}{dra}	{dra}{asc}	8			Fixed	sam mallory redeemed bear	Unique. Toughness 1. Loyalty. Immunity from <Operation> Events. When an opponent plays a 0-cost card, this card gains Toughness: 2 until the end of the turn.	
Big Joe Conner	abtpromos	big_joe_conner_1.png	Character	Dragons	Maverick Bruiser	6	{dra}{dra}{dra}	{dra}	10			Fixed	big joe conner maverick bruiser	Unique. Toughness 1. Unstoppable. When a Character you control is removed from play by an opponent’s Event while this card is in your smoked pile, you may return this card to play.	
Antiquity Age Pirate	abtpromos	antiquity_age_pirate_1.png	Character	Dragons	Ancient Hero	4	{dra}	{dra}	6			Fixed	antiquity age pirate ancient hero	Loyalty. Once per turn, target a Weapon State at this location :: If this card is a legal subject for target, move target onto this card.	
Harvest of Jade	abtpromos	harvest_of_jade_1.png	Character	Guiding Hand	Righteous Emperor	2	hhhh	hh	1			Fixed	harvest jade righteous emperor	Unique. Immunity to Events. Turn and maintain and target a Character you control :: Target gains +X Fighting. X = the number of faction resources required and provided by target.	
Xiao Yan	abtpromos	xiao_yan_1.png	Character	Eaters of the Lotus	Hapless Petal Pawn	3	ll	l	4			Fixed	xiao yan hapless petal pawn	Unique. Assassinate. Lethal. Play this card at -1 cost if you control a <Darkness> card.	
Gao Keung	abtpromos	gao_keung_1.png	Character	Eaters of the Lotus	Ghost Sorcerer	4	ll{mon}	l{mon}	6			Fixed	gao keung ghost sorcerer	Unique. Regenerate. Once during your main shot you may target a Character with a cost or fighting of one :: Take control of target until the end of turn.	
Breeze and Butterfly	abtpromos	breeze_and_butterfly_1.png	Character	Four Monarchs	Ice Tigers	3	{arc}{arc}	{arc}	4			Fixed	breeze butterfly ice tiger	Unique. Sentinel. Play at -1 cost at the location of an <Ice> Site or "Pi Tui". Once per turn when this card is healed, it gains +2 Fighting until it leaves play.	
Greatest Fist Martial Arts	abtpromos	greatest_fist_martial_arts_1.png	Feng Shui Site	Unaligned	Dojo Feng Shui Site	0				1	5	Fixed	greatest fist martial art dojo	Unique. When a Unique Character you control attacks, you may turn this card :: Other Characters you control gain +1 Fighting until the end of the attack.	
The MacMillan Building	abtpromos	the_macmillan_building_2.png	Site	Unaligned	Site	3				1	9	Fixed	mac millan building	Unique. Any Feng Shui Site to the immediate right and immediate left of this card generates one additional power.	
Tabula Rasa Gauntlet	abtpromos	tabula_rasa_gauntlet_1.png	State	Magic	State	1	{mon}					Fixed	tabula rasa gauntlet	Limited. Turn and target a Character at this location :: Cancel target until the end of the turn. Unturn this card when a Character at this location is smoked.	
