Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Arcanosorcerer	betteroffdead	arcanosorcerer_2.png	Character	Architects	CDCA Scientist	2		rtm	2					The first time this card unturns in a turn, you may target a Character :: Inflict 1 non combat damage on target.	
Laura Villaverde	betteroffdead	laura_villaverde_1.png	Character	Architects	Brutal Scientist	3	rr	rt	4					Unique. Once per turn you may sacrifice a Character :: Draw 3 cards.	
Lo Kan	betteroffdead	lo_kan_2.png	Character	Architects	Veteran Monster Hunter	4	rrr	r	6					Unique. Ambush. Once per turn when a <Demon> or <Spirit> card controlled by another player is smoked, you may play an <Abomination> Character at -X cost. X=the cost of the smoked card.	
Homo Omega	betteroffdead	homo_omega_1.png	Character	Architects	Renegade Cyborg Mastermind	6	rrrrt	rtt	9					Unique. Toughness: 3. Loyalty. When this card enters play, no player may play cards until the end of the turn. Cards may not be played in response to this effect.	
Nachtshreck	betteroffdead	nachtshreck_2.png	Character	Architects	Cyborg Assassin	4	rrrt	rt	6					Assassinate. Tactics. When you play an Event, this card gains +1 Fighting until it leaves play.	
Desdemona Deathangel	betteroffdead	desdemona_deathangel_1.png	Character	Architects	Abomination	5	rrrtt	rt	7					Unique. Ambush. When this card smokes a Character in combat, it becomes a State on this card. This card copies the rules text of such States. Sacrifice a State on this card :: this card gains +1 Fighting until the end of the turn.	
Hell Squad	betteroffdead	hell_squad_2.png	Character	Architects	Fanatic Buro Soldiers	3	rr	r	4					Loyalty. Guts. Immunity to events you own.	
CHAR II	betteroffdead	char_ii_2.png	Character	Architects	2nd Generation BuroMil Cyborg	5	rrtt	rt	8					Can only be intercepted by characters intercepting in a chain. <Fire> events cost an additional power to play.	
Field Research	betteroffdead	field_research_2.png	Edge	Architects	Arcanowave Edge	1	rr							When you play a [tec] or [mag] card, you may choose a Character :: that Character gains +1 Fighting until the end of the turn.	
Buro Armory	betteroffdead	buro_armory_2.png	Edge	Architects	Edge	2	rr							Limited. When you play a Character from your hand you may immediately play a Weapon State on it from your smoked pile at -1 cost.	
Hands Up!	betteroffdead	hands_up_1.png	Event	Architects	Cop Event	0	r							Target an opponent's attacking Character :: Target's controller may have target cease attacking. If they do not, cancel target until the end of the turn and inflict 4 non-combat damage on it.	
Advanced Scouting Report	betteroffdead	advanced_scouting_report_2.png	Event	Architects	Event	0	rt							Target up to 4 Sites :: Reveal any unrevealed targets. Attacking Characters at targets' location gain Toughness: 1 until the end of the turn.	
BuroMil Encampment	betteroffdead	buromil_encampment_2.png	Site	Architects	Battleground Site	2		rt		1	6			Target a Character and turn:: Until the end of the turn, target gains Tactics and +X combat damage. X= the damage on target.	
Arcanowave Link	betteroffdead	arcanowave_link_3.png	State	Architects	State	0	rr							Not Cumulative. Subject Character gains +1 Fighting. Sacrifice and target a Character at this location :: Inflict 2 non-combat damage on target.	
Grafted Hellharrower	betteroffdead	grafted_hellharrower_2.png	State	Architects	Dangerous State	3	rrrrt							Weapon. Subject Character gains +4 Fighting. If subject inflicts combat damage on a Feng Shui Site during an attack you declared, you may burn that Site.	
Neural Grepper	betteroffdead	neural_grepper_1.png	State	Architects	State	1	rrrt							Schtick. Not Cumulative. Play on a Character you control. Subject inflicts +2 combat damage. Sacrifice this card and toast subject :: gain 2 power.	
BK97 Attack Chopper	betteroffdead	bk97_attack_chopper_2.png	State	Architects	State	2	rrt							Vehicle. Subject Character gains +3 Fighting and Unstoppable	
Master Swordsman	betteroffdead	master_swordsman_2.png	Character	Hand	Righteous Warrior	3	hh	hc	4					+1 Fighting while the subject of a <Sword> State. While the subject of a Weapon, this card gains Unstoppable.	
Claw of Fury	betteroffdead	claw_of_fury_2.png	Character	Lotus	Sorcerer Assassin	2		lm	2					Assassinate. When an opponent targets you (not a card or location you control) with an Event, you may play this card from your hand at no cost.	
Path of the Fire Righteous	betteroffdead	path_of_the_fire_righteous_1.png	State	Monarchs	Netherworld State	1	f	c						Play on a <Fire> Character. Subject gains +1 Fighting and Unstoppable.	
Fortune Teller	betteroffdead	fortune_teller_2.png	Character	Purists	Sinister Seer	1		p	1					Turn :: Look at the top 3 cards of your deck and return them in any order.	
Magic Box	betteroffdead	magic_box_2.png	Character	Purists	Mathemagical Construct	2		pm	2					Mobility. Reduce to zero all damage inflicted on this card from 1-cost Characters.	
Arcane Illusionist	betteroffdead	arcane_illusionist_2.png	Character	Purists	Circus Sorcerer	1	p	pm	1					Turn :: Reveal and toast the top card of your deck.  If that card is a non-Character card, gain 1 power.	
Mimes	betteroffdead	mimes_2.png	Character	Purists	Silent Sorcerers	3	pp	pm	4					When this card enters combat with a canceled card, this card gains +1 Fighting until it leaves play. Once per turn when a Character is about to enter combat with this card, you may cancel that Character until the end of the turn	
Occult Geomancer	betteroffdead	occult_geomancer_3.png	Character	Purists	Purist Sorcerer	3	pp	p	4					Uncopyable. When you play this card, and at the start of each turn, choose a Site :: This card copies all bold-faced abilities currently possessed by or printed in the rules text of that site until that site leavese play or the end of the turn.	
Penrose Contortionists	betteroffdead	penrose_contortionists_3.png	Character	Purists	Unsettling Constructs	4	pp	p	6					Toughness: 1. When this card is healed, it gains Toughness: 1.	
Madame Jiang Lai	betteroffdead	madame_jiang_lai_3.png	Character	Purists	Suan Ming Seer	2	pp	pm	3					Unique. Turn :: Draw up to X cards from your deck, then place the same number of cards on the top or bottom of your deck in any order. X = the number of Feng Shui Sites you control.	
Jirani Parker	betteroffdead	jirani_parker_1.png	Character	Purists	Master Geomancer	4	ppp	pm	7					Unique. Mobility. Once per turn when a card you control is targeted by an effect generated by a site, you may discard a card in response :: change the target of that effect.	
The Magnificent Vincenzo!	betteroffdead	the_magnificent_vincenzo_1.png	Character	Purists	Murderous Magician	4	ppp	pm	6					Unique. Assassinate. Unstoppable. When this card smokes a Character, place a counter on this card. Once per turn you may remove a counter :: cancel a Site at this location until it leaves play.	
The Makyoh	betteroffdead	the_makyoh_1.png	Character	Purists	Mirror Spirit	5	pppm	pm	8					Unique. Toughness: 1. When this card enters combat, you may target up to three cards at this cards location :: Cancel targets until the end of the turn.	
Paradox Cube	betteroffdead	paradox_cube_1.png	Edge	Purists	Edge	1	pm	m						Unique. Once during each turn, you may inflict 1 non-combat damage on a Character you own and choose an opponent's Edge or Feng Shui Site :: Copy the text from the chosen card to this card until the end of your next turn, or until you use this ability again.	
Ritualistic Chanting	betteroffdead	ritualistic_chanting_3.png	Event	Purists	Cultist Event	0	pp							Limited. Toast It. Play during your Main Shot except during an attack. Reveal cards from the top of your deck until you reveal a <Spirit> Character.  You may play that card at normal cost. Reshuffle all unplayed revealed cards back into your deck.	
Temporal Dislocation	betteroffdead	temporal_dislocation_3.png	Event	Purists	Event	0	ppmm							You may re-arrange all the Sites in your site structure. Then, you may move all Characters you control to any location in your site structure. This may change the target of the attack.	
Folded Palace	betteroffdead	folded_palace_2.png	Site	Purists	Hidden Netherworld Site of Paradox	2	pp	pm		1	7			Unique. At the start of each turn, you may target a location :: Cancel all sites at target until the end of the turn.	
Evil Ventriloquist's Dummy	betteroffdead	evil_ventriloquists_dummy_3.png	State	Purists	State	0	pp							Play on a Character. At the start of your turn, inflict 2 non-combat damage on subject. At the start of subject's controller's turn, inflict 1 non-combat damage on subject. Reload: 1	
Glimpse of Paradox	betteroffdead	glimpse_of_paradox_3.png	State	Purists	State of Insanity	0	pp							Not cumulative. Play on a Character you control. Subject gains Loyalty, gains +1 Fighting and is not a legal subject opponents' States.	
Carnies' Caravan	betteroffdead	carnies_caravan_3.png	State	Purists	State	3	ppp							Vehicle. Play on a Character. Subject gains Mobility, Toughness: 1, and +3 Fighting. While subject is attacking, all Sites at subject's location are cancelled.	
Po Pang	betteroffdead	po_pang_1.png	Character	Seven Masters	Master of the Very Tasty Dumpling	5	zz	zmc	8					Unique. Guts. Play at -1 cost for each opponent who has fewer Characters in their smoked pile than you do.	
Planetologist	betteroffdead	planetologist_1.png	Character	Syndicate	Terraforming Techie	1		sct	1					While turned, damage this card inflicts on Characters is reduced to 0.	
Free-Runner	betteroffdead	free_runner_3.png	Character	Syndicate	Rooftop Acrobat	1	s	sct	1					Superleap. When this card enters play, you may Reload a State.	
Hydroponic Gardener	betteroffdead	hydroponic_gardener_3.png	Character	Syndicate	Corporate Botanist	2	s	sc	2					Turn this card during any Main Shot and discard a [Chi] card :: Play a [Chi] card regardless of type from any smoked pile, ignoring resource conditions.  Events played in this way gain Toast It.	
Forest Sheng	betteroffdead	forest_sheng_1.png	Character	Syndicate	Dragon's Heir	3	ss	sc	4					Unique. Influence: 2. Ambush. If this card is smoked by an event or by non-combat damage, return it to play at the beginning of your next turn.	
Space Cowboys	betteroffdead	space_cowboys_2.png	Character	Syndicate	Final Frontier Rebels	3	ss	stc	4					Independent. Turn a [Tec] or [Chi] state on this card and target a Character at this location :: Inflict 1 non-combat damage on target or heal 1 damage from target.	
Yamada Hanako	betteroffdead	yamada_hanako_1.png	Character	Syndicate	Corporate Nightclub Hostess	3	ss	s	2					Unique. Uncopyable. Influence: 2. Characters you control gain +X fighting. X = their Influence.	
Mars Colony Miscreants	betteroffdead	mars_colony_miscreants_2.png	Character	Syndicate	Street Hoods	4	ss	s	6					Unstoppable. Influence: 2. Once per turn, while this card is attacking, you may use its Influence without turning it.	
Saka Masu	betteroffdead	saka_masu_3.png	Character	Syndicate	Mars Colony Prefect	5	sss	stc	8					Unique. Influence: 4. Tactics. Once per turn when a card uses Tactics or turns to provide Influence, you may unturn that card.	
