Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Bunker Security	bettertomorrow	bunker_security.png	Character	Ascended	Enclave Survivors	1		a	1					+1 combat damage and Stealth while at a location with a non-Feng Shui Site.	
Old Buzzard	bettertomorrow	old_buzzard.png	Character	Ascended	Lodge Survivor	2		ac	2					When an effect generated by an opponent returns a card to play, you may return this card to play.	
Cut-Out	bettertomorrow	.png	Character	Ascended	Wasteland Recruiter	2	a	a	2					Turn :: Play a Character at -1 cost.	
Street Rat	bettertomorrow	street_rat.png	Character	Ascended	Transformed Hood Survivor	3	a	a	3					Stealth. Tactics. When this card inflicts combat damage on a non-Feng Shui Site, you may seize that Site.	
Puppet Dictator	bettertomorrow	.png	Character	Ascended	Enclave Politician	4	a	a	5					Cannot turn to change location. Cannot be declared as a single attacker. When an oppnent controls exactly one Character at this location, reduce all damage inflicted by that Character to 0.	
Enclave Historian	bettertomorrow	enclave_historian.png	Character	Ascended	Creative Archivist	1	aa	a	1					+1 combat damage for each Edge or Event in your smoked pile.	
Paratrooper	bettertomorrow	.png	Character	Ascended	Enclave Soldier	3	aa	a	4					When this card enters play it cannot be intercepted until the end of the turn. When you play an Edge, you may Reload this card.	
Shamali Storm	bettertomorrow	shamali_storm.png	Character	Ascended	Wasteland Survivor Clone	3	aaa	a	4					Unique. Stealth. +2 combat damage to Sites. When this card turns to attack, the owner of the target of the attack may pay you 1 Power :: This card ceases attacking.	
Katerina Sa	bettertomorrow	.png	Character	Ascended	Enclave Mentor	5	aaa	a	6					Unique. Stealth. When this card enters play, target a Character with a cost of 3 or less :: Take control of target.	
The Englishman	bettertomorrow	.png	Character	Ascended	Wandering Killer	6	aaa	a	9					Unique. Assassinate. When this card turns to attack you may target a turned Character :: Smoke target.	
The Professional	bettertomorrow	the_professional.png	Character	Ascended	Martial Artist	4	aaaa	ac	7					Unique. Lethal. Stealth.	
The Mouse	bettertomorrow	the_mouse.png	Character	Ascended	Master Manipulator	5	aaaa	a	5					Unique. Choose a designator other than <Netherworld> and turn and maintain :: take control of all Characters with the chosen designator. You may not sacrifice these Characters. Any player may pay 2 power to cancel this card until the end of the turn.	
Aquila	bettertomorrow	aquila.png	Character	Ascended	Reascended Eagle	5	aaatt	a	8					Unique. Superleap. Once per turn, when another Character is smoked at this location, pay power equal to half that Character's cost (rounded up) :: return that Character to play under your control	
Long Term Investment	bettertomorrow	long_term_investment.png	Edge	Ascended	Edge	1		a						When you play a Feng Shui Site or generate an effect that would take control of an opponent's card, you may put a counter on this card. Remove 3 or more counters and sacrifice :: Gain 2 power.	
