Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Gangsters	betteryesterday	gangsters.png	Character	Ascended	Hood Muscle	1		a						+1 damage to Characters.	
Tentacles of the Squid	betteryesterday	tentacles_of_the_squid.png	Character	Ascended	Lodge Enforcers	3	aa	a	4					+1 Damage for each Event in your smoked pile with a different title.	
Bounty (PaP)	betteryesterday	bounty_pap.png	Edge	Ascended	Edge	1	aa							When one or more Characters you control with Assassinate smoke a Character that is the target of their attack during combat, you gain Power equal to half (round up) the target's cost.	
Roar of the Beast (PaP)	betteryesterday	roar_of_the_beast_pap.png	Event	Ascended	Event	3	aaaa							Roar of the Beast cannot be cancelled by any means. Target a card :: Cancel and smoke target.  (This can include an event as it is being played)	
Feral Regression	betteryesterday	feral_regression.png	State	Ascended	State	1	aa							Subject Character's rules text is blank. It gains +X Fighting if it is <Lodge> or <Transformed>. X= the number of [Asc] resources required and provided by subject	
We Got The Funk	betteryesterday	we_got_the_funk.png	Edge	Dragons	Superfly Edge	2	d							Unique. Enters play turned.  Cannot unturn unless you have six {DRA} in your pool.  Gain 3 Power the first time this card unturns.  Turn and Sacrifice :: Search your deck for a Unique [DRA] Character, reveal it, and put it in your hand.	
"Now You've Made Us Mad"	betteryesterday	now_youve_made_us_mad.png	Event	Dragons	Event	0	dd							Gain 1 Power for each damaged Character you control.	
Kiii-YAAAH!	betteryesterday	kiii_yaaah.png	Event	Dragons	Event	0	dd							Play during your Main Shot. Target an opponent who controls three or more Power-generating Sites :: Steal up to 3 Power from target.	
Old Hermit's Gambit	betteryesterday	old_hermits_gambit.png	Event	Dragons	Event	0	dd	cm						Play during your turn in response to an opponent turning a non-Character card.  Target a card :: Unturn target.	
That Which Does Not Kill Me…	betteryesterday	that_which_does_not_kill_me.png	Event	Dragons	Event	0	dd							Play in response to damage from a single source being inflicted on target Character :: Until the end of the turn, target gains Guts and inflicts +X damage. X = the amount of damage inflicted on target by that source.	
Kar Fais Crib	betteryesterday	kar_fais_crib.png	Site	Dragons	Site	2	d	dc		1	7			Unique. You may play [Dra] States at -1 cost. Turn to play a Character, ignoring one resource condition.	
