Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Impressionable Soldier	rainforestrumble	impressionable_soldier_2.png	Character	Architects of the Flesh	BuroMil Trainee	2		{arc}	2			Fixed	impressionable soldier buro mil trainee	Sentinel. When a Character with a cost of 5 or more enters play, you may play this card at no cost. Copy the rules text of that Character on to this card until this card leaves play.	
PubOrd Security Drone	rainforestrumble	pubord_security_drone_1.png	Character	Architects of the Flesh	Cyber Squad	2		{arc}{tek}	2			Fixed	pub ord security drone cyber squad	If this card is in your hand and you have {arc} in your resource pool, you may discard this card and target an attacking Character :: Change the target of that attacking Character to any Character you control.	
BuroMil Recruiters	rainforestrumble	buromil_recruiters_2.png	Character	Architects of the Flesh	Military Agents	2	{arc}	{arc}	2			Fixed	buro mil recruiter military agent	Once per attack, when one or more Characters are smoked during an attack you declared or joined, this card gains +1 Fighting until it leaves play. Once per turn when you play a <Buro> or <Soldier> card, you may draw a card.	
Curfew Enforcers	rainforestrumble	curfew_enforcers_2.png	Character	Architects of the Flesh	PubOrd Cops	3	{arc}{arc}	{arc}	4			Fixed	curfew enforcer pub ord cop	Stun. Ambush against turned Characters. Upgrade: {arc}{arc}{arc}5: +3 Fighting and Toughness: 1.	
Crimson Nightmares	rainforestrumble	crimson_nightmares_1.png	Character	Architects of the Flesh	Relentless Abominations	3	{arc}{arc}	{arc}	3			Fixed	crimson nightmare relentless abomination	No Max. Toughness: 1. Guts. When an <Abomination> you control is smoked, you may Reload this card. Upgrade {arc}{arc}4: +1 Fighting for each <Abomination> card in your smoked pile.	
Kristof Edelmann	rainforestrumble	kristof_edelmann_2.png	Character	Architects of the Flesh	Mad Scientist	3	{arc}{arc}{arc}	{arc}{tek}	3			Fixed	kristof edelmann mad scientist	Unique. Once per turn when you smoke a Character, put an "Abomination" token into play.	
BuroMil Officer	rainforestrumble	buromil_officer_2.png	Character	Architects of the Flesh	SuperSoldier	4	{arc}{arc}{arc}	{arc}	6			Fixed	buro mil officer super soldier	Guts. Tactics. When a Character you control uses Tactics, you may sacrifice that Character :: Gain 1 power.	
Luminescence Force	rainforestrumble	luminescence_force_1.png	Character	Architects of the Flesh	Irradiated Cyborgs	4	{arc}{arc}{tek}	{arc}{tek}	X			Fixed	luminescence force irradiated cyborg	Corrupted. X = the number of {tek} in your resource pool. Reload: Toast 2 cards in your smoked pile that provide {tek}.	
General Andre Ibanez	rainforestrumble	general_andre_ibanez_2.png	Character	Architects of the Flesh	Supersoldier Mastermind	5	{arc}{arc}{arc}{tek}	{arc}{tek}	8			Fixed	general andre ibanez super soldier mastermind	Unique. Tactics. If you have three or more cards in your hand, you may discard your hand and choose a Character :: Double that Character's fighting, and smoke it at the end of the turn.	
BuroMil Interdiction Training	rainforestrumble	buromil_interdiction_training_1.png	Edge	Architects of the Flesh	Edge	2		{arc}				Fixed	buro mil interdiction training	When this card enters play, put a "BuroMil Soldier" token into play. All <Buro> and <Soldier> Characters gain Tactics.	
Ablative Armor	rainforestrumble	ablative_armor_1.png	Edge	Architects of the Flesh	Edge	1	{arc}{arc}{tek}					Fixed	ablative armor	Characters you control that are the subject of a <Vehicle> state gain Unstoppable and Toughness: 1. Sacrifice this card in response to an effect that targets a <Vehicle> state :: Cancel that effect.	
Overrun	rainforestrumble	overrun_3.png	Event	Architects of the Flesh	Event	0	{arc}{arc}{arc}					Fixed	overrun	Play when a Character not the subject of a Vehicle state enters combat with a Character who is the subject of a Vehicle state.  Until the end of the turn, reduce to zero the damage of the Character who is not subject of a vehicle state.	
Adrenal Rage	rainforestrumble	adrenal_rage_2.png	Event	Architects of the Flesh	Event	1	{arc}{arc}					Fixed	adrenal rage	Play during an attack. All Characters you control gain Guts until the end of the attack.	
Wave of Mutilation	rainforestrumble	wave_of_mutilation_1.png	Event	Architects of the Flesh	Event	3	{arc}{arc}					Fixed	wave mutilation	Smoke all Characters. For each non-token character smoked in this way, that Character's controller puts an "Abomination" token into play under their control.	
Front Lines	rainforestrumble	front_lines_1.png	Site	Architects of the Flesh	Battleground Site	2	{arc}{arc}	{arc}		0	5	Fixed	front line battleground	Any player who seizes this site gains 1 power.  If this card is in your front row when you declare an attack, you may toast a card in your smoked pile and turn this card :: Put a "BuroMil Soldier" token in play, which immediately joins the attack.	
Fortress Omega: Hong Kong	rainforestrumble	fortress_omega_hong_kong_2.png	Site	Architects of the Flesh	Site	3	{arc}{arc}{arc}{tek}	{arc}{tek}		1	9	Fixed	fortress omega hong kong	Unique. Toughness: 1. You may play Characters that require 3 or more resources at -1 cost. When you play a Character, you may pay exactly 1 additional power for that character. If you do, it gains +3 Fighting until it leaves play.	
BuroMil Spider Tank	rainforestrumble	buromil_spider_tank_2.png	State	Architects of the Flesh	State	4	{arc}{arc}{tek}{tek}					Fixed	buro mil spider tank	Vehicle. Subject Character gains +7 Fighting, Sentinel, and Tactics. Subject is also considered to be at adjacent locations for the purposes of effects and interceptions.	
Abomination	rainforestrumble	abomination_1.png	Token	Architects of the Flesh		1	{arc}		1			Fixed	abomination	Token.	
