Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
PubOrd Official	tbp	pubord_official_2.png	Character	Architects of the Flesh	Red Army Bureaucrat	1		{arc}	1			Fixed	pub ord official red army bureaucrat	Characters you control may attack during opponent's turns. Upgrade {arc}{arc}{arc}3: 3 Fighting. Characters you control gain +1 Fighting and Toughness: 1 while attacking during opponent's turns.	
ED2069	tbp	ed2069_2.png	Character	Architects of the Flesh	Indiscriminate PubOrd Drone	3	{arc}{arc}	{arc}{tek}	4			Fixed	ed2069 indiscriminate pub ord drone	At the start of your Main Shot, you must target a non-Unique Character :: Smoke target.	
Secret Police	tbp	secret_police_2.png	Character	Architects of the Flesh	PubOrd Cops	4	{arc}{arc}	{arc}	3			Fixed	secret police pub ord cop	May attack during opponent's  turns. May not be intercepted by Characters that attacked this turn. +X Fighting. When this card enters play, target an opponent. X= the number of cards in targets hand.	
Predator X	tbp	predator_x_2.png	Character	Architects of the Flesh	Red Army Cyborg	5	{arc}{arc}	{arc}{tek}	8			Fixed	predator x red army cyborg	Unique. Regenerate. Ambush against damaged Characters. When this card is smoked, smoke all Characters at its location.	
Exterminator	tbp	exterminator_2.png	Character	Architects of the Flesh	Red Army Cyborg Assassin	4	{arc}{arc}{tek}	{arc}{tek}	6			Fixed	exterminator red army cyborg assassin	Assassinate.  Toughness:1. Play during any Main Shot. Upgrade {arc}{arc}{arc}{tek}6: 10 Fighting. Guts.	
"Don't Stand So Close To Me"	tbp	dont_stand_so_close_to_me_2.png	Event	Architects of the Flesh	Event	1	{arc}{arc}					Fixed	dont stand so close me	Target a Character :: Inflict 1 non-combat damage on all other Characters and Sites at target's location. Upgrade {arc}{arc}{arc}3: Inflict 4 non-combat damage instead of 1.	
PubOrd Checkpoint	tbp	pubord_checkpoint_2.png	State	Architects of the Flesh	Red Army State	0	{arc}{arc}{arc}					Fixed	pub ord checkpoint red army	Play on a Site you control. Damage inflicted on cards at subject's location is Stun damage.	
War Games	tbp	war_games_2.png	Edge	Architects of the Flesh	Edge	1	{arc}{arc}					Fixed	war game	Opponents cannot end their turn if they control an unturned Character that could attack.	
Cobbler	tbp	cobbler_1.png	Character	Ascended	Forger Mastermind	1	{asc}	{asc}	1			Fixed	cobbler forger mastermind	Turn and target a Character :: Target gains Stealth until the end of the turn.	
Handler	tbp	handler_1.png	Character	Ascended	Shadowy Agent	3	{asc}	{asc}	4			Fixed	handler shadowy agent	Characters and Sites you control that are owned by opponents gain Toughness: 1. Turn during an opponent's Main Shot :: Play a State at -1 cost.	
Undercover Operatives	tbp	undercover_operatives_2.png	Character	Ascended	Embedded Agents	4	{asc}{asc}	{asc}	6			Fixed	undercover operative embedded agent	When this card inflicts combat damage on the target of its attack, you may look at the cards controller's hand :: You may play one card from their hand at -1 cost, regardless of type and ignoring resource conditions.	
Section Chief Ritter	tbp	section_chief_ritter_1.png	Character	Ascended	Senior Agent Mastermind	4	{asc}{asc}{asc}	{asc}	4			Fixed	section chief ritter senior agent mastermind	Unique. <Agent> Characters you control gain +X Fighting. X= the number of cards you control that are owned by opponents. Target an opponent and turn :: Reveal target's hand and choose a card. Target must play the chosen card, if possible, regardless of type.	
Director Moore	tbp	director_moore_2.png	Character	Ascended	Sworn Mastermind	2	{asc}{asc}	{asc}	3			Fixed	director moore sworn mastermind	Unique. Edges with a printed cost of 2 or greater gain "Turn and maintain and target an Edge :: Cancel target". When a Character you control inflicts combat damage on a non-Feng Shui Site, you may pay Power equal to that Site's cost :: Seize that Site.	
Agent Lamb	tbp	agent_lamb_2.png	Character	Ascended	Transformed Spy	5	{asc}{asc}	{asc}	8			Fixed	agent lamb transformed spy	Unique. Once per turn when an attack fails, you may play an <Agent> or <Spy> card from any player's smoked pile at -2 cost, replacing each resource requirement with {asc}. That card gains Toast It.	
Ubiquitous Surveillance	tbp	ubiquitous_surveillance_2.png	Edge	Ascended	Spy Edge	2	{asc}{asc}					Fixed	ubiquitous surveillance spy	Once per turn, when a Character controlled by an opponent turns to generate an effect (including turning to heal or change location), you may target a card you control :: Unturn target.	
Tradecraft	tbp	tradecraft_1.png	Event	Ascended Eaters of the Lotus	Event	0	{asc}{asc}					Fixed	tradecraft	Play in response to an Event that targets a Character with Assassinate or Stealth :: Cancel that Event. You may substitute {lot} for {asc} when playing this card.	
False Flag Operation	tbp	false_flag_operation_2.png	Event	Ascended	Event	0	{asc}					Fixed	false flag operation	Target an attacking Character :: If target inflicts combat damage on the target of its attack, inflict 1 Stun non-combat damage on target, and you gain 1 Power.	
Foreign Office	tbp	foreign_office_2.png	Site	Ascended	Political Site	2		{asc}		1	6	Fixed	foreign office political	Characters you control may use Stealth an additional time during each attack for each additional time they have Stealth. Turn and maintain an Edge you control and target a Character :: Target gains Stealth.	
The Agency	tbp	the_agency_1.png	Site	Ascended	Site	2	{asc}{asc}{asc}	{asc}		1	8	Fixed	agency	Unique. Turn :: Play an <Agent>, <Assassin> or <Spy> card at -1 cost. Cards you control with Assassinate or Stealth gain Assassinate and Stealth.	
Spy Kit	tbp	spy_kit_1.png	State	Ascended	State	2	{asc}{asc}					Fixed	spy kit	Subject Character gains +3 Fighting. Turn and target an opponent :: Look at target's hand. Turn :: Draw a card. Turn :: Add or remove a designator from subject until the end of the turn.	
Infiltration	tbp	infiltration_2.png	State	Ascended	State	3	{asc}{asc}					Fixed	infiltration	When a Character you control inflicts combat damage on the target of its attack, you may play this card on a Character, Edge or Non-Feng Shui Site controlled by target :: Take control of subject.	
Double Agent	tbp	double_agent_2.png	Character	Ascended Eaters of the Lotus	Backstabbing Eunuch	2	{asc}	{asc}{lot}	2			Fixed	double agent backstabbing eunuch	Assassinate. When a player generates an effect that takes control of one or more cards or an attack you declared fails, this card gains +1 Fighting until it leaves play. You may substitute {lot} for {asc} when playing this card.	
Rogue Operative	tbp	rogue_operative_2.png	Character	Dragons	Amnesiac Agent	3	{dra}	{dra}{asc}	4			Fixed	rogue operative amnesiac agent	Toast a card in your smoked pile that provides resources :: This card gains Toughness: X until the end of the turn. X = the number of faction resources that card provides.	
Synthetics Hunter	tbp	synthetics_hunter_2.png	Character	Dragons	Cop Agent	4	{dra}{dra}	{dra}{syn}	6			Fixed	synthetic hunter cop agent	Toughness: 1. Ambush and Assassinate while attacking a {tek} or Upgraded card.	
Tom "Deuce" Mitchell	tbp	tom_deuce_mitchell_2.png	Character	Dragons	Maverick Fighter Pilot	5	{dra}{dra}{dra}	{dra}{jam}	9			Fixed	tom deuce mitchell maverick fighter pilot	Unique. Discard a card :: Damage inflicted on this card by cards with that card's printed cost is reduced to 0 until the end of the turn.	
Agent Six	tbp	agent_six_2.png	Character	Dragons	Maverick Prisoner	4	{dra}{dra}	{dra}	6			Fixed	agent six maverick prisoner	Unique. Independent. When this card enters play or is declared as an attacker, until the end of the turn opponents cannot play cards that share a title with a card in their smoked pile. No player may play cards in response to this card entering play.	
Investigative Journalism	tbp	investigative_journalism_2.png	Event	Dragons	Event	1	{dra}{dra}					Fixed	investigative journalism	Toast It. Choose Character, Event, Edge, State, or Site, and target an opponent :: Reveal target's hand. Discard any cards of that type from the revealed cards, and you may play one card of the same type from your smoked pile.	
In the Vents	tbp	in_the_vents_1.png	Event	Dragons	Event	1	{dra}					Fixed	vent	Target a Character :: Target gains Superleap until the end of the turn. Inflict non-combat damage equal to target's cost on target. Upgrade {dra}{dra}2: All Characters gain Superleap and non-combat damage is inflicted on each Character equal to each of their costs.	
Whistleblower	tbp	whistleblower_1.png	Character	Dragons Syndicate	Redeemed Corporate Saboteur	2	{dra}	{dra}{syn}	2			Fixed	whistleblower redeemed corporate saboteur	Tactics. When this card inflicts combat damage on the target of its attack, you may reveal the hand of target's controller :: Gain 2 Power if you reveal any cards with the same title as a card in target's smoked pile. You may substitute {syn} for {dra} when playing this card.	
Border Guards	tbp	border_guards_2.png	Character	Guiding Hand	Green Principle Agents	2		{han}{chi}	2			Fixed	border guard green principle agent	Once per turn when an opponent declares an attack, you may choose Character, Event, State, Edge or Site :: That opponent may reveal a card of that type from their hand. If they do not, this card gains Toughness: 2 until the end of the turn.	
Party Official	tbp	party_official_2.png	Character	Guiding Hand	Green Principle Bureacrat	1	{han}	{han}{chi}	1			Fixed	party official green principle bureacrat	When you play a <Green> card (including this one) you may target a card :: Target gains Toughness: 1 until the end of the turn.	
Consulate Agent	tbp	consulate_agent_2.png	Character	Guiding Hand	Green Principle Martial Artist	3	{han}	{han}{chi}	4			Fixed	consulate agent green principle martial artist	Gains Toughness: 1 until the end of the turn when an Event is played. States cannot be played on cards at this location.	
Counter-Intelligence Officer	tbp	counter_intelligence_officer_1.png	Character	Guiding Hand	Geomancer Operative	4	{han}{han}{han}	{han}	7			Fixed	counter intelligence officer geomancer operative	Stun. Sites gain Immunity to opponent's  non-Character cards.	
Emily Cheung	tbp	emily_cheung_2.png	Character	Guiding Hand	Green Principle Mastermind	3	{han}{han}{han}	{han}	3			Fixed	emily cheung green principle mastermind	Unique. When a Site is played, Characters you control gain +X Fighting and Toughness: X until the end of the turn. X = the Power spent playing that Site. Players cannot discard cards.	
Diplomatic Immunity	tbp	diplomatic_immunity_2.png	Edge	Guiding Hand	Green Edge	0	{han}{han}					Fixed	diplomatic immunity green	Limited. When a Character you control is targeted by an opponent's effect or an attack, you may sacrifice this card :: Smoke the targeted Character and then return it to play, under its owner’s control, turned.	
Blown Network	tbp	blown_network_2.png	Event	Guiding Hand	Event	1	{han}{han}					Fixed	blown network	Play in response to an Event or Edge :: Cancel and toast that card.	
The B-Team	tbp	the_b_team_1.png	Character	Jammers	Saboteurs of Fortune	3	{jam}	{jam}{tek}	4			Fixed	b team saboteur fortune	Once per turn when a <Saboteur> Character you control inflicts damage on a card, you may cancel that card until the end of its controller's turn. Turn and target a Site :: Inflict 1 non-combat damage on target and turn it.	
Rambotang	tbp	rambotang_2.png	Character	Jammers	All Action Ape	5	{jam}{jam}	{jam}{tek}	8			Fixed	rambotang all action ape	Unique. Guts. Reduce to 0 any damage inflicted on this card by cards with the same printed cost as any State this card is the subject of. Reload: Discard your hand.	
Macaque to the Future	tbp	macaque_to_the_future_2.png	Character	Jammers	Weird Discombobulator Scientist	4	{jam}{jam}{jam}{tek}	{jam}	6			Fixed	macaque future weird discombobulator scientist	Unique. Toast It. Uncopyable. When this card is removed from play by an opponent, at the end of the current turn, you may unturn your cards and take an additional Main Shot.  If 4 or more cards you control have the same set symbol, this card generates 2 Power in your Establishing Shot.	
Lemur Let Die	tbp	lemur_let_die_2.png	Event	Jammers	Event	0	{jam}					Fixed	lemur let die	Target a Character you control and flip a coin :: Heads: target gains Immunity to Events until the end of the turn. Tails: Smoke target and gain 1 Power. Reload: Discard a card at random.	
Escape From Hong Kong	tbp	escape_from_hong_kong_1.png	Event	Jammers	Event	0	{jam}{jam}{jam}					Fixed	escape from hong kong	Target a Character :: Target gains Independent and Stealth until the end of the turn.  Upgrade {jam}{jam}{jam}2: Unturn target and it gains Unstoppable until the end of the turn.	
Bang and Burn	tbp	bang_and_burn_2.png	Event	Jammers	Event	2	{jam}{jam}{jam}					Fixed	bang burn	Target a location :: Inflict 2 Stun non-combat damage on all Sites at target and 2 Corrupted non-combat damage on all Characters at target.	
Mission Improbable	tbp	mission_improbable_2.png	Site	Jammers	Battleground Site	0	{jam}	{jam}{tek}		0	3	Fixed	mission improbable battleground	Play into the back row of any player's Site structure. That player controls this card. When this card is smoked due to combat damage that player gains 3 Power if they are this card's owner, otherwise they gain 1 Power.	
"Fight The Power!"	tbp	fight_the_power_2.png	Edge	Jammers Dragons	Edge	0	{jam}{jam}					Fixed	fight power	Not Cumulative. Turn when any player would return one or more cards to play from their smoked pile :: Instead, toast those cards. That player gains Power equal to half the printed cost of the cards that would have been returned to play (rounded up). You may substitute {dra} for {jam} when playing this card.	
Spook	tbp	spook_2.png	Character	Eaters of the Lotus	Ghost Spy	2		{lot}{mag}	2			Fixed	spook ghost spy	Turn and maintain and target a Character :: Target loses, and cannot gain, any bold-faced abilities and the damage inflicted by target is reduced by 1.	
Chest Burster	tbp	chest_burster_1.png	Character	Eaters of the Lotus	Corrosive Horror	2	{lot}{lot}	{lot}	2			Fixed	chest burster corrosive horror	Corrupted. When this card enters play from your hand, you must target a Character :: Inflict 4 non-combat damage on target. Upgrade: {lot}{lot}{lot}5: 7 Fighting. Stealth.	
Honey Trap	tbp	honey_trap_2.png	Character	Eaters of the Lotus	Petal Spies	3	{lot}{lot}	{lot}	4			Fixed	honey trap petal spy	Uncopyable. While this card is attacking, you may target up to 3 token or Foundation Characters :: Targets cannot intercept this attack. If an opponent declares an attack against a Character at this location, it must target "Honey Trap" if possible.	
The Lost	tbp	the_lost_2.png	Character	Eaters of the Lotus	Vampire Punks	3	{lot}{lot}	{lot}{mag}	5			Fixed	lost vampire punk	Regenerate. When this card enters or leaves play, you may toast a non-Foundation card in any smoked pile.	
Jiang Ku	tbp	jiang_ku_2.png	Character	Eaters of the Lotus	Ghost Spy Mastermind	4	{lot}{lot}{lot}{lot}	{lot}{mag}	6			Fixed	jiang ku ghost spy mastermind	Unique. While this Character is turned, <Ghost> Characters cannot intercept or be intercepted. Turn and maintain a <Ghost> card you control and target a card :: All damage inflicted on target is increased by 1.	
Johann Krueger	tbp	johann_krueger_2.png	Character	Eaters of the Lotus	Relentless Masked Killer	5	{lot}{lot}{lot}	{lot}	8			Fixed	johann krueger relentless masked killer	Unique. Lethal. If an opponent controls a Unique Character and this card is in your smoked pile at the start of your Main Shot, return it to play and immediately turn it to attack an opponent's Unique Character.	
Interrogation	tbp	interrogation_2.png	Event	Eaters of the Lotus	Event	1	{lot}					Fixed	interrogation	Target a Character :: Smoke target. Target's controller may pay you 1 Power and discard 3 cards at random to cancel this effect. If they do, you may reload this card.	
Ancient Burial Ground	tbp	ancient_burial_ground_1.png	Site	Eaters of the Lotus	Site	2		{lot}{mag}		1	6	Fixed	ancient burial ground	Regenerate. Cards you control with Regenerate may Regenerate at the start of each turn.	
Poltergeist	tbp	poltergeist_2.png	Character	Eaters of the Lotus Purists	Geomantic Ghost	2	{lot}	{lot}{pur}	2			Fixed	poltergeist geomantic ghost	Regenerate. Turn, inflict 2 non-combat damage on a Feng Shui Site you control and target an Edge :: Smoke target. You may substitute {pur} for {lot} when playing this card.	
Armies of Darkness	tbp	armies_of_darkness_2.png	Character	Four Monarchs	Undead Horde	2		{mon}{mag}	2			Fixed	army darkness undead horde	If 3 or more combat damage is inflicted on a Site you control, you may simultaneously play up to three <Undead> Characters (including this one) from your hand at -1 cost each.	
Ninjas of the Four Elements	tbp	ninjas_of_the_four_elements_2.png	Character	Four Monarchs	Netherworld Diplomats	2	{mon}	{mon}{mag}	2			Fixed	ninja four element netherworld diplomat	Independent. At the end of your turn, put a counter on this card if you control any <Thunder> cards. Do likewise for <Fire>, <Darkness>, and <Ice>. Remove 4 counters :: This card gains +2 Fighting until it leaves play.	
Meryl Goldburgh	tbp	meryl_goldburgh_1.png	Character	Four Monarchs	Burned Ice Spy	4	{mon}{mon}	{mon}{asc}	6			Fixed	meryl goldburgh burned ice spy	Unique. Unstoppable. Once per turn, when a card you control is healed, target an opponent’s card at this location :: Inflict X non-combat damage on target. X = the amount of damage healed.	
The Undead Pirate Roberts	tbp	the_undead_pirate_roberts_2.png	Character	Four Monarchs	Spirit of the Sunless Sea	6	{mon}{mon}{mon}	{mon}	8			Fixed	undead pirate roberts spirit sunless sea	Unique. Ambush. You may sacrifice a Character when this card is removed from play by an opponent :: Return this card to play turned (even if it returned to your hand).	
There Can Be Only One!	tbp	there_can_be_only_one_2.png	Edge	Four Monarchs	Thunder Edge	2	{mon}{mon}	{mag}				Fixed	there can be only one thunder	Unique. While you only control one Character it gains Ambush. While that Character is the only Unique Character in play it also gains +2 Fighting.	
The Wrath of Huan	tbp	the_wrath_of_huan_1.png	Event	Four Monarchs	Thunder Event	1	{mon}					Fixed	wrath huan thunder	Target a Character :: Toast target if it is not controlled by its owner. Target inflicts +6 combat damage against Characters until the end of the turn.	
Burn Notice	tbp	burn_notice_2.png	State	Four Monarchs	Fire State	0	{mon}					Fixed	burn notice fire	Schtick. Play on a non-Foundation Character during any Main Shot. Opponent's States played on subject and opponent's Events that target subject may be played at -1 cost. Subject gains Toast It.	
Croupier	tbp	croupier_1.png	Character	Purists	Casino Mathemagician	2		{pur}{mag}	2			Fixed	croupier casino mathemagician	Turn and target a card :: Remove a counter from target, or add a counter of the appropriate type if it is {pur}. Play at no cost when an opponent generates an effect that would steal or gain Power.	
Casino Security System	tbp	casino_security_system_2.png	Character	Purists	Improbably Effective Construct	4	{pur}{pur}	{pur}	6			Fixed	casino security system improbably effective construct	Sentinel. Once per turn when you play a Site, you may put a counter on this card. Once per turn you may remove a counter and target an attacking Character :: Target unturns and ceases attacking.	
The Number	tbp	the_number_2.png	Character	Purists	Mathemagician Probability Mastermind	3	{pur}{pur}{pur}	{pur}{mag}{mag}	3			Fixed	number mathemagician probability mastermind	Unique. You may play this card during any Main Shot. All Characters' printed Fighting becomes equal to their cost. Turn and maintain and target a location :: Increase or decrease the printed cost of cards at target by one. This cannot change a number to zero.	
The Golden Streak	tbp	the_golden_streak_2.png	Character	Purists	Probability Spirit	5	{pur}{pur}{pur}{mag}	{pur}	8			Fixed	golden streak probability spirit	Unique. Stealth. Once per turn, you may target a Character and flip a coin until it comes up Tails :: Target gains +X Fighting until the end of the turn. X= the number of flips.	
Dark Crystals	tbp	dark_crystals_3.png	Edge	Purists	Weird Edge	2	{pur}{pur}					Fixed	dark crystal weird	Limited. Turn and maintain and target a Character :: Choose one of Site, Edge, or State. Target is a card of that type in addition to its current type for the purposes of other card effects.	
Infinite Improbability Machine	tbp	infinite_improbability_machine_2.png	Edge	Purists	Edge	1	{pur}{pur}{mag}{mag}					Fixed	infinite improbability machine	Unique. Turn and target a player :: Target sets aside their hand, draws a new hand with an equal number of cards if possible, and then shuffles the set aside cards back into their deck.	
Sleight of Hand	tbp	sleight_of_hand_2.png	Event	Purists	Event	0	{pur}{pur}{pur}{mag}					Fixed	sleight hand	Target a card :: Until the end of the turn, increase or decrease any number not written as words on target by one. This cannot change a number to zero.	
Casino Cabal	tbp	casino_cabal_2.png	Site	Purists	Site	2		{pur}{mag}		1	6	Fixed	casino cabal	Place a counter on this card when it is played. When any player would flip a coin, you may turn and remove a counter :: Treat the result as if it were Heads. Turn :: add a counter to this card.	
